clados;coletor;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13
CMO;Luteyn, J.L. 9833;47.58;2.13;0.94;68.69;51.63;42.23;5.58;0.26;0.55;0.12;0.17;NA;0.10
CMO;Nielsen 5200;51.53;2.22;1.66;64.44;64.00;42.00;9.39;0.26;0.56;0.13;0.18;NA;0.10
CMO;Núñez, R. 281;53.74;5.33;2.17;42.74;35.50;41.69;12.05;0.59;0.76;0.12;0.23;0.27;0.38
CMO;Núñez, R. C. 591;46.03;3.32;1.86;59.28;81.09;34.35;11.68;0.44;0.21;0.22;0.83;0.19;0.45
CMO;Quijada, C. 26;57.47;4.17;1.75;38.95;78.08;48.06;9.41;0.28;0.59;0.13;0.18;NA;0.11
CRU;Dettker, G. 518;61.44;3.37;2.76;52.67;42.55;40.56;14.47;0.25;NA;NA;0.88;NA;NA
CRU;Gonzatti, F. 707;78.24;7.6;3.49;51.18;46.68;57.94;16.63;0.25;NA;NA;0.19;NA;NA
CRU;Hagelund, K. 13265;91.81;5.39;2.48;41.04;90.72;75.49;5.04;0.38;0.23;0.13;0.87;0.13;0.19
CRU;Kinnup, V.F. 2657;56.12;7.74;4.25;58.56;75.66;52.94;15.36;0.25;0.16;0.20;0.83;0.08;0.14
CRU;Salino, A. 11885;79.14;9.23;4.04;44.48;58.18;55.28;21.79;0.32;NA;NA;0.91;NA;NA
CRU;Salino, A. 13547;167.71;5.4;3.2;61.65;66.24;109.94;41.4;0.71;0.25;0.13;1.62;0.21;0.2
CRU;Salino, A. 8559;96.38;6.69;3.11;58.14;60.03;87.18;9.2;0.51;0.2;0.2;1.54;0.12;0.1
CRU;Waechter, J.L. 1278;116.61;4.8;2.49;44.11;72.89;90.3;18.98;0.25;0.2;0.19;1.87;0.1;0.16
CRU;Waechter, J.L. 2247;43.25;4.43;2.25;53.61;45.54;43.25;NA;NA;0.1;0.09;0.83;0.07;0.2
CRU;Windisch, P.G. 9550;54.36;7.79;3.96;65.8;51.63;50.67;0.66;0.19;NA;NA;0.83;NA;NA
