especie;coletor;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13
MOR;Núñez, R. C. 591;46.03;3.32;1.86;59.28;81.09;34.35;11.68;0.44;0.21;0.22;0.83;0.19;0.45
MOR;Pulido 122;50.19;2.36;1.79;67.89;63.11;42.54;9.32;0.28;0.57;0.19;0.14;NA;0.12
MOR;Quijada, C. 26;57.47;4.17;1.75;38.95;78.08;48.06;9.41;0.28;0.59;0.13;0.18;NA;0.11
OBL;Acevedo-Rodríguez, P. 6939;45.29;2.04;1.24;68.03;63.21;33.08;2.43;0.20;0.60;0.22;0.18;0.10;0.19
OBL;Asplund, Erik 5582;44.59;4.38;2.79;66.51;64.48;35.94;8.65;0.30;0.51;0.12;0.12;NA;0.11
OBL;Burger, W.C. 9109;61.10;2.42;1.16;53.76;87.20;32.54;2.51;0.21;0.68;0.21;0.15;0.07;0.13
OBL;Gentry, A.L. 7950;32.75;3.93;2.20;66.30;52.69;30.37;2.38;0.24;0.80;0.25;0.19;0.15;0.20
OBL;Goldman, E. A. 1859;32.04;2.98;1.72;49.12;56.88;32.57;1.54;0.51;0.73;0.12;0.17;0.12;0.27
OBL;Leonard, E. C. 3937;47.62;3.01;1.17;66.47;63.76;32.70;2.56;0.21;0.70;0.22;0.19;0.10;0.13
OBL;Lundell, C. L. 2926;56.68;4.56;2;51.44;67.63;54.69;1.99;0.4;0.14;0.1;0.68;NA;NA
OBL;Mexia, Y. E. J. 6614;40.95;5.85;2.73;68.95;66.94;40.95;NA;NA;0.11;0.13;0.59;NA;0.12
OBL;Standley, P.C. 24465;49.13;3.32;1.63;59.91;62.94;47.3;1.83;0.34;0.13;0.11;0.49;NA;NA
OBL;Weber, C. 6201;47.88;2.22;1.28;66.95;63.42;32.56;2.56;0.20;0.69;0.20;0.19;0.12;0.19
RUF;Dettker, G. 518;61.44;3.37;2.76;52.67;42.55;40.56;14.47;0.25;NA;NA;0.88;NA;NA
RUF;Dutra, J. 61;66.35;6.83;3.39;54.51;35.56;61.05;5.3;0.35;0.14;0.2;1.74;NA;NA
RUF;Gonzatti, F. 707;78.24;7.6;3.49;51.18;46.68;57.94;16.63;0.25;NA;NA;0.19;NA;NA
RUF;Hagelund, K. 13265;91.81;5.39;2.48;41.04;90.72;75.49;5.04;0.38;0.23;0.13;0.87;0.13;0.19
RUF;Hornung, H.H. 5183;61.06;7.35;3.22;56.18;62.64;56.05;16.21;0.22;NA;NA;0.85;NA;NA
RUF;Kinnup, V.F. 2657;56.12;7.74;4.25;58.56;75.66;52.94;15.36;0.25;0.16;0.20;0.83;0.08;0.14
RUF;Molz, M. s.n.;23.48;3.92;1.85;73.54;88.66;21.25;1.95;1.19;NA;NA;1.01;NA;NA
RUF;Waechter, J.L. 1278;116.61;4.8;2.49;44.11;72.89;90.3;18.98;0.25;0.2;0.19;1.87;0.1;0.16
RUF;Waechter, J.L. 2247;43.25;4.43;2.25;53.61;45.54;43.25;NA;NA;0.1;0.09;0.83;0.07;0.2
RUF;Windisch, P.G. 9550;54.36;7.79;3.96;65.8;51.63;50.67;0.66;0.19;NA;NA;0.83;NA;NA
